City_ID,City,Latitude,Longitude,Maximum Temperature (°C),Humidity (%),Cloudiness (%),Wind Speed (m/s),Country,Date
0,port-aux-francais,-49.35,70.2167,5.7,76,59,11.85,TF,1708796841
1,jamestown,42.097,-79.2353,-1.38,49,55,0.45,US,1708796842
2,zeya,53.75,127.2667,-25.29,100,78,1.48,RU,1708796842
3,hawaiian paradise park,19.5933,-154.9731,20.5,85,20,2.57,US,1708796842
4,utrik,11.2278,169.8474,25.32,80,100,7.84,MH,1708796842
5,udachny,66.4167,112.4,-31.61,95,97,1.49,RU,1708796843
6,hermanus,-34.4187,19.2345,17.6,82,100,5.32,ZA,1708796843
7,kapoeta,4.7717,33.5903,33.69,23,100,5.07,SS,1708796843
8,isafjordur,66.0755,-23.124,-8.21,77,46,2.53,IS,1708796844
9,dapa,9.7594,126.0531,25.9,83,52,2.64,PH,1708796844
10,touros,-5.1989,-35.4608,30.86,59,35,6.81,BR,1708796844
11,bredasdorp,-34.5322,20.0403,17.06,86,100,7.86,ZA,1708796845
12,ushuaia,-54.8,-68.3,11.81,71,0,4.12,AR,1708796845
13,berdigestyakh,62.0989,126.6992,-33.62,100,100,0.38,RU,1708796845
14,natal,-5.795,-35.2094,33.36,58,40,7.2,BR,1708796846
15,bel ombre,-4.6167,55.4167,26.91,89,40,2.06,SC,1708796846
16,tilcara,-23.5776,-65.3509,13.15,81,95,3.17,AR,1708796846
17,cidreira,-30.1811,-50.2056,26.97,76,11,4.46,BR,1708796847
18,olonkinbyen,70.9221,-8.7187,-4.49,70,100,10.26,SJ,1708796847
19,papatowai,-46.5619,169.4708,11.92,89,91,6.23,NZ,1708796847
20,santa cruz,-17.8,-63.1667,30.03,66,75,6.69,BO,1708796704
21,ulsteinvik,62.3432,5.8487,4.62,86,79,4.47,NO,1708796848
22,ribeira grande,38.5167,-28.7,18.22,82,40,7.2,PT,1708796849
23,stanley,54.868,-1.6985,5.77,75,40,1.54,GB,1708796849
24,mogocha,53.7333,119.7667,-19.67,100,100,0.41,RU,1708796850
25,grytviken,-54.2811,-36.5092,2.43,68,89,6.09,GS,1708796850
26,adamstown,-25.066,-130.1015,26.37,76,45,5.83,PN,1708796850
27,goroka,-6.0834,145.3873,17.27,98,100,0.26,PG,1708796851
28,fale old settlement,-9.3852,-171.2468,29.05,75,45,3.65,TK,1708796851
29,holualoa,19.6228,-155.9522,19.91,72,0,3.09,US,1708796851
30,le port,-20.9373,55.2919,26.98,86,64,2.51,RE,1708796852
31,vadso,70.0744,29.7487,3.49,83,100,12.16,NO,1708796852
32,port alfred,-33.5906,26.891,18.43,92,57,3.87,ZA,1708796852
33,nizhniy kuranakh,58.8353,125.4869,-24.79,100,100,1.09,RU,1708796853
